title,release_date,year,tmdb_id,overview,original_language,genre_ids,poster_path,poster_url,backdrop_path,backdrop_url,rating,no_of_persons_voted,popularity,adult
Bad Fairies,2027-05-20,2027,1138528,An original musical comedy that follows a delightfully subversive gang of fairies as they shake up their magical world.,en,"16,35,14",/h0JbLsPVEJModp73t2Os7a3z8Ay.jpg,https://image.tmdb.org/t/p/w500/h0JbLsPVEJModp73t2Os7a3z8Ay.jpg,/hAogEcaosQ0RJBjZ8B9ehFgH69Q.jpg,https://image.tmdb.org/t/p/w500/hAogEcaosQ0RJBjZ8B9ehFgH69Q.jpg,0.0,0,0.5531,False
"Be Still, My Daughter",2027-05-25,2027,1598512,"A Five Nights at Freddy's Fan-Film - After years of planning and building, Henry Emily finishes building his new animatronic, built to capture his long-lost daughter who lives inside of the Marionette - all a part of his plan to finally end the years of ruin and chaos that William Afton has caused...",en,"27,53,878",,,,,0.0,0,0.0561,False
Star Wars: Starfighter,2027-05-26,2027,1417668,An original story set approximately five years after the events of Star Wars: The Rise of Skywalker.,en,"878,12,28",/xji11GH7XOfYnVc2xmfBDtpMxLR.jpg,https://image.tmdb.org/t/p/w500/xji11GH7XOfYnVc2xmfBDtpMxLR.jpg,/oVjiUAsIQ4WZ9W6p7ElnXneoho3.jpg,https://image.tmdb.org/t/p/w500/oVjiUAsIQ4WZ9W6p7ElnXneoho3.jpg,0.0,0,1.3753,False
English,2027-05-27,2027,1611600,"After a solar flare causes society's collapse, a new world emerges under the control of the N.E.S.T organisation, where the illusion of freedom masks a sinister reality.",en,"28,14,18,27",/tzi0GVi0cf0uAwrguZBCZ0HJ52b.jpg,https://image.tmdb.org/t/p/w500/tzi0GVi0cf0uAwrguZBCZ0HJ52b.jpg,/yPj8XwBJog2dRocX3FWwEx8itFv.jpg,https://image.tmdb.org/t/p/w500/yPj8XwBJog2dRocX3FWwEx8itFv.jpg,0.0,0,0.0997,False
Absence,2027-06-01,2027,1617834,"After their father’s death shatters the fragile balance of their family, a distant mother tries to reconnect with her children as grief resurfaces buried resentments. With the one person who held them together gone, they must decide whether they can become a family on their own, or remain permanently broken.",en,"18,10751",/d79SMmEC9mjEAGjeEIoTCC4xnTD.jpg,https://image.tmdb.org/t/p/w500/d79SMmEC9mjEAGjeEIoTCC4xnTD.jpg,/3vSG2x1KJANG36TXLz8MPrLkRMO.jpg,https://image.tmdb.org/t/p/w500/3vSG2x1KJANG36TXLz8MPrLkRMO.jpg,0.0,0,0.0598,False
From the Ashes,2027-06-01,2027,1191876,"Jailed for her husband's crime, a woman discovers that her only way out is to solve riddles from her mysterious past.",en,18,/aEUH2ECoZHvSmoMzJpca0STF2CZ.jpg,https://image.tmdb.org/t/p/w500/aEUH2ECoZHvSmoMzJpca0STF2CZ.jpg,/ru0r5MYhIwcU0IddhRLqJpIPkiV.jpg,https://image.tmdb.org/t/p/w500/ru0r5MYhIwcU0IddhRLqJpIPkiV.jpg,0.0,0,26.2811,False
How to Train Your Dragon 2,2027-06-10,2027,1458319,The second live-action adaptation of the animated trilogy. Plot TBA.,en,"14,12,10751,28",/6VlnDSuTmBPW6a45Qxp5qeDINBq.jpg,https://image.tmdb.org/t/p/w500/6VlnDSuTmBPW6a45Qxp5qeDINBq.jpg,,,0.0,0,1.9199,False
Applause,2027-06-11,2027,1623944,"Two teenagers encounter a rock that gives them the power to switch places with the clap of their hands. However, one of the boys struggles with bullying, relationship issues, and sexual identity as he tries to navigate the world as a young adolescent.",en,"18,878",/8IEBi5cpilFpij213y6R5fWxnG0.jpg,https://image.tmdb.org/t/p/w500/8IEBi5cpilFpij213y6R5fWxnG0.jpg,,,0.0,0,0.4768,False
born blue,2027-06-16,2027,1614424,"PLEASE NOTE: June 2027 is not a confirmed date. It is our target completion date and may change.  Born In Blue is produced using Unreal Engine. Unreal Engine is a trademark or registered trademark of Epic Games, Inc. All rights reserved.  Set in Mount Gambier, South Australia, the film follows Lumy, a young girl who witnesses her father’s sacrifice at the edge of the mysterious Blue Lake. Growing up with unhealed trauma and an unexplainable power tied to the water itself, Lumy retreats into science while being quietly hunted by forces she doesn’t fully understand.  Years later, she forms a deep connection with a broken but kindred soul, Ashton. Together, they become scientists and uncover a dangerous truth buried beneath the lake one that links Lumy’s existence to a phenomenon capable of reshaping reality. As the past resurfaces and the hunters return, Lumy must confront what her father died to protect. Born In Blue is a story of grief, survival, inheritance, and the cost of love.",en,,/bF2beCWoene3e2IFIMmA3Zgv00b.jpg,https://image.tmdb.org/t/p/w500/bF2beCWoene3e2IFIMmA3Zgv00b.jpg,,,0.0,0,0.0429,False
Spider-Man: Beyond the Spider-Verse,2027-06-17,2027,911916,"Miles Morales is now a fugitive on the run from every other Spider in the multiverse, and Gwen and his other friends might not be enough to help him.",en,"16,28,12,878",/9PIhQqqI6Q4a5YjwMjxvzZcPJhf.jpg,https://image.tmdb.org/t/p/w500/9PIhQqqI6Q4a5YjwMjxvzZcPJhf.jpg,/fnebkdwArjFJfTB62SgK41f8pF6.jpg,https://image.tmdb.org/t/p/w500/fnebkdwArjFJfTB62SgK41f8pF6.jpg,0.0,0,3.6426,False
Mondele,2027-06-30,2027,1611680,"A Congolese-American teen with dreams of becoming the next Spike Lee races to finish his passion project while balancing cultural expectations, a strict mother, and the weight of immigrant life in Portland, Maine.",en,,,,,,0.0,0,0.0411,False
Shrek 5,2027-06-30,2027,421892,The fifth film in the Shrek franchise. Plot TBA.,en,"16,10751,35,14,12",/aRntI6gNBMu4B6YozI7rxXRPyQo.jpg,https://image.tmdb.org/t/p/w500/aRntI6gNBMu4B6YozI7rxXRPyQo.jpg,/tgiuYuRg0vKh8OSjxbl1DzT9BfI.jpg,https://image.tmdb.org/t/p/w500/tgiuYuRg0vKh8OSjxbl1DzT9BfI.jpg,0.0,0,4.7696,False
Joey&Fray,2027-07-03,2027,1618609,"Two best friends Joey and Fray, have a plan for a huge party for finishing school. But it spirals into chaos when Joey has to pay back his debt to his weed dealer.",en,35,,,,,0.0,0,0.0568,False
Man of Tomorrow,2027-07-07,2027,1523140,Superman and Lex Luthor team up to face a larger threat. Plot TBA.,en,"878,28",,,,,0.0,0,1.5823,False
High in the Clouds,2027-07-07,2027,656618,"After he accidentally sparked a revolution against Gretsch, the bossy diva-owl who has banned all music from his town, a teenage squirrel named Wirral embarks on an extraordinary journey to set music free.",en,"12,16,35,10751,10402",/4ciGq6LMflg2AkmUxx5XAMmg8FN.jpg,https://image.tmdb.org/t/p/w500/4ciGq6LMflg2AkmUxx5XAMmg8FN.jpg,/ye3LoKYqp4ab9q2sYXxsnfMzItP.jpg,https://image.tmdb.org/t/p/w500/ye3LoKYqp4ab9q2sYXxsnfMzItP.jpg,0.0,0,2.1335,False
To Bontang,2027-07-08,2027,1401835,"She is worth every mile, every inch, and every heartbeat.",en,99,/7uOLiFlvANXF0rxAnhoaQPjQwIt.jpg,https://image.tmdb.org/t/p/w500/7uOLiFlvANXF0rxAnhoaQPjQwIt.jpg,,,0.0,0,0.1355,False
Nexus: 3001,2027-07-09,2027,1458578,"After the fall of Earth at the hands of its own creators, the remnants of humanity seek refuge on Nexus, a red planet where hope once thrived. Now, it endures under the rule of Kovino, the God whose authority is absolute and unquestioned. As quiet whispers of an old prophecy begin to resurface among the people, speaking of their savior named Wadha. As a reluctant rebel named Eli finds himself drawn toward a decision that may disturb the fragile order and set something far greater into motion for their savior to return.",en,"878,14,18",/vi6nujZ19AtUw6yQk6vSDAoIDyt.jpg,https://image.tmdb.org/t/p/w500/vi6nujZ19AtUw6yQk6vSDAoIDyt.jpg,/3i4I4u98noK99DvWudWAH0IAHyH.jpg,https://image.tmdb.org/t/p/w500/3i4I4u98noK99DvWudWAH0IAHyH.jpg,0.0,0,0.0364,False
The Fields of Abbottsville,2027-07-11,2027,1597138,"In Ohio, late 2004, after a young religious fanatic Joshua Tinsman (Brennan Abbott) celebrates his 18th birthday. He is then forced into committing crimes by his preacher Ron Tinsman Jr. (Aaron Hickman) that he doesn't want to follow through on. Years of indoctrination and influence from his friends discourages him from leaving. After all, it's the ideology that he and his childhood friend Stephen grew up with since birth. How can you leave something you spent your whole life working towards? Loosely based on a true story.",en,"27,9648",/24j5pP9jz05CPyCuzD8ptvZ6IEf.jpg,https://image.tmdb.org/t/p/w500/24j5pP9jz05CPyCuzD8ptvZ6IEf.jpg,/xlBCbWaQtfW7TtPCPGxZRuPD6Me.jpg,https://image.tmdb.org/t/p/w500/xlBCbWaQtfW7TtPCPGxZRuPD6Me.jpg,0.0,0,0.1212,False
on a madness.,2027-07-18,2027,1643077,"After accidentally disrupting a family funeral,  a group of friends must attempt to prove it was all a misunderstanding. The boys attempt to recreate the disastrous day, only for their plan to spiral into even bigger trouble.",en,35,/2i4S9MOCbdRgJRKpmQ6CWltRNoj.jpg,https://image.tmdb.org/t/p/w500/2i4S9MOCbdRgJRKpmQ6CWltRNoj.jpg,,,0.0,0,0.0268,False
Narco Shark 3,2027-07-18,2027,1525218,"The inner worlds are in chaos, reality is collapsing and hitler has returned. Now, only an extremely macho and emotionally unavailable hero can save us!",en,"28,27,35",/aD3fm1iwVJjv2Uq1OnH2KKdQEDi.jpg,https://image.tmdb.org/t/p/w500/aD3fm1iwVJjv2Uq1OnH2KKdQEDi.jpg,,,0.0,0,0.1009,False
A Minecraft Movie 2,2027-07-22,2027,1461519,The second installment in the franchise. Plot TBA.,en,"10751,14,35,12",/qfid5nudNlSUFvVNx8cqIonrTI4.jpg,https://image.tmdb.org/t/p/w500/qfid5nudNlSUFvVNx8cqIonrTI4.jpg,/Aas6zyCznVr9V175xLB59YroQ9Q.jpg,https://image.tmdb.org/t/p/w500/Aas6zyCznVr9V175xLB59YroQ9Q.jpg,0.0,0,1.8603,False
The Shark That Roared,2027-07-27,2027,1528628,A documentary on Jaws: The Revenge (1987) that celebrates the films 40th Anniversary and its achieved fandom since its release.,en,99,/v2YODdeJjPtpNyUwoRYgQ246Vlg.jpg,https://image.tmdb.org/t/p/w500/v2YODdeJjPtpNyUwoRYgQ246Vlg.jpg,,,0.0,0,1.1296,False
A Quiet Place Part III,2027-07-29,2027,1324923,The third installment in the franchise. Plot TBA.,en,"27,878,53",/37XcaePjgtaga0gB3dFNSc7QnuS.jpg,https://image.tmdb.org/t/p/w500/37XcaePjgtaga0gB3dFNSc7QnuS.jpg,/t9FIKABadNBLQaHTu3jnmT5tnhL.jpg,https://image.tmdb.org/t/p/w500/t9FIKABadNBLQaHTu3jnmT5tnhL.jpg,0.0,0,1.5713,False
Gargantuan,2027-08-01,2027,1573515,Five washed-up heroes reunite to pilot their giant robot and save the world.,en,"878,28",,,,,0.0,0,0.1367,False
The Auction,2027-08-01,2027,1305810,"The film is set at Aztec Corp., a company that auctions off ancient antiquities and semi-distinct wild exotic animals.",en,"53,28,878,27,9648",,,,,0.0,0,0.604,False
Miami Vice,2027-08-04,2027,1467853,"Plot TBA. Will explore the glamour and corruption of mid-80’s Miami, inspired by the pilot episode and first season of the NBC television series",en,"80,18,28",,,,,0.0,0,2.1917,False
Bluey: The Movie,2027-08-05,2027,1403836,Based on the TV series of the same name. Plot TBA.,en,"10751,16",/wUiL0OTK3EPRyQfdQkEU4Ma87V2.jpg,https://image.tmdb.org/t/p/w500/wUiL0OTK3EPRyQfdQkEU4Ma87V2.jpg,/ozgB1gzShfpPdjAtOEvCurbvEN6.jpg,https://image.tmdb.org/t/p/w500/ozgB1gzShfpPdjAtOEvCurbvEN6.jpg,0.0,0,0.8667,False
The Final Hour,2027-08-08,2027,1648434,A group of friends find themselves trapped in a deadly situation as a mysterious killer begins hunting them one by one during the final hour.,en,"27,12",/31ceMg4HPYlj7ZBavlDCZRdXcHo.jpg,https://image.tmdb.org/t/p/w500/31ceMg4HPYlj7ZBavlDCZRdXcHo.jpg,,,0.0,0,0.0579,False
Teenage Mutant Ninja Turtles: Mutant Mayhem 2,2027-08-12,2027,1156621,"Donnie, Raph, Leo, and Mikey are back for their next adventure with Master Splinter, the Mutants, April, and a new villain they have to face: The Shredder.",en,"28,16,35,10751,878",/yukp9qq3JmgatfMSGnxdyn6jtRX.jpg,https://image.tmdb.org/t/p/w500/yukp9qq3JmgatfMSGnxdyn6jtRX.jpg,/dYsXhu97sNCQbObZjq3awyrdoaf.jpg,https://image.tmdb.org/t/p/w500/dYsXhu97sNCQbObZjq3awyrdoaf.jpg,0.0,0,1.0693,False
Shiver,2027-08-13,2027,1572400,"A ne'er-do-well smuggler finds himself in the middle of a deadly double-cross while on a job in the Caribbean Sea, resulting in him getting surrounded by bodies, hostile mercenaries and thirsty sharks alike, all while stuck in a deathly time loop and scrambling to break the cycle.",en,"878,53",,,,,0.0,0,1.4116,False
Prompt: Make a Documentary,2027-08-31,2027,1617805,"Prompt: Make a Documentary investigates the growing influence of artificial intelligence on the film industry.  The documentary places the rise of AI within the broader historical context of cinema’s evolution, drawing parallels with earlier technological shifts such as the introduction of sound, colour, and digital visual effects. By revisiting landmark moments in film history, the film demonstrates that disruption has always been part of cinema’s DNA, while questioning whether AI represents a fundamentally different kind of change.  Featuring insights from directors, academics, and practitioners, Prompt: Make a Documentary explores the tension between innovation and integrity, the democratisation of creative tools, and the ethical implications of automation in the arts. The film ultimately asks whether artificial intelligence will empower the next generation of storytellers or redefine creativity itself.",en,99,/aGStw7s5gRhVUIxLmBghBmdFkpX.jpg,https://image.tmdb.org/t/p/w500/aGStw7s5gRhVUIxLmBghBmdFkpX.jpg,,,0.0,0,0.2386,False
The Simpsons Movie 2,2027-09-01,2027,1554353,The sequel to the 2007 film. Plot TBA.,en,"35,16",/6bWJH0s0X2cTynececEJSnfbNn9.jpg,https://image.tmdb.org/t/p/w500/6bWJH0s0X2cTynececEJSnfbNn9.jpg,/moJRnabE13YGQRy5BPIdEOVMCb6.jpg,https://image.tmdb.org/t/p/w500/moJRnabE13YGQRy5BPIdEOVMCb6.jpg,0.0,0,1.3256,False
The Conjuring: First Communion,2027-09-09,2027,1544162,A prequel in the franchise. Plot TBA.,en,27,,,,,0.0,0,0.9029,False
It Is Not Her Fault,2027-09-14,2027,1421202,"In 2016, a group of close friends dreams of becoming doctors as they navigate their final year of middle school. Amidst the nostalgia of the era, they experience friendship, young love, and unexpected challenges, leading to a climax that changes their lives forever.",en,18,/moHZfyJn1NTXbE6jp83fV8cju5K.jpg,https://image.tmdb.org/t/p/w500/moHZfyJn1NTXbE6jp83fV8cju5K.jpg,/2dYVEdzhAOvOhiD4f3x6DMi09dt.jpg,https://image.tmdb.org/t/p/w500/2dYVEdzhAOvOhiD4f3x6DMi09dt.jpg,0.0,0,0.3078,False
Born In Blue,2027-09-23,2027,1615229,"Born In Blue is produced using Unreal Engine and set in Mount Gambier (Berrin), South Australia. The story follows Lumy, a young girl who grows up in New Zealand before moving with her father to the quiet volcanic town beside the Blue Lake. In the late 1800s, time traveling villains arrive from the future, drawn to a powerful phenomenon beneath the lake and seeking Lumy herself. At the lake’s edge, her father sacrifices his life to protect her, altering the course of time. Marked by trauma and a mysterious bond to the water, Lumy grows up driven by grief and unanswered questions, turning to science while unaware she is still being hunted. Years later, alongside fellow scientist Ashton, she uncovers the truth the same force beneath Berrin fuels both the villains’ technology and her own ability to move through time. Realising what she has inherited, Lumy prepares to fight back and protect what her father died to save.",en,,/EBEEkOyzz7OtAd5Cvfweei11xx.jpg,https://image.tmdb.org/t/p/w500/EBEEkOyzz7OtAd5Cvfweei11xx.jpg,/4F2L5YOWc4W9S04EZkyroWkTgIq.jpg,https://image.tmdb.org/t/p/w500/4F2L5YOWc4W9S04EZkyroWkTgIq.jpg,0.0,0,0.0486,False
The Last Druid,2027-09-24,2027,1380780,A Roman Emperor discovers a secluded Druid stronghold in the mountains of Caledonia. A peaceful Celtic elder must take up arms to protect his family and people from annihilation.,en,"36,28",,,,,0.0,0,1.1335,False
Terra: Reckoning,2027-09-24,2027,1068401,The second part in the Terra trilogy.,en,"28,878,16",,,,,0.0,0,0.1164,False
I SAW MY FATHER´S SOUL ON TV,2027-09-27,2027,1656148,,en,"18,10749",/yIAM2m8dFqBjAXE1Ka7vixGYIY4.jpg,https://image.tmdb.org/t/p/w500/yIAM2m8dFqBjAXE1Ka7vixGYIY4.jpg,,,0.0,0,0.0411,False
Double Lens 2: Convergence,2027-09-30,2027,1630778,"Stranded in an alternate universe after his multiverse camera fails, Mark is forced into a dangerous phycological game with his doppelganger, MK. As MK plots to take Mark's place in his own world, Mark must confront the cost of survival, identity, and control across collapsing realities.",en,"878,9648,12",/7cv8VcXKyqtYtxcp4bgl4Bbbwdp.jpg,https://image.tmdb.org/t/p/w500/7cv8VcXKyqtYtxcp4bgl4Bbbwdp.jpg,,,0.0,0,0.3521,False
Untitled The Batman Sequel,2027-09-30,2027,806704,Sequel to the 2022 film The Batman.,en,"9648,18,80",/hUe1G6Ziwl8b6DaaGHjhG6LQQH8.jpg,https://image.tmdb.org/t/p/w500/hUe1G6Ziwl8b6DaaGHjhG6LQQH8.jpg,,,0.0,0,2.6836,False
Joshua,2027-10-20,2027,1589394,In development.,en,"28,12,878",/9U47rZV70QK0v1vrZ4DjpsnOro7.jpg,https://image.tmdb.org/t/p/w500/9U47rZV70QK0v1vrZ4DjpsnOro7.jpg,,,0.0,0,0.3431,False
Saki Sanobashi: Go For A Punch,2027-10-21,2027,1517390,"After being kidnapped, six people suddenly find themselves awake in what appears to be a bathroom? Just like the food and water, the little hope of escape they once had is slowly being eaten away by the realization that no one is coming to save them and that they will all decay here.",en,,,,,,0.0,0,0.0452,False
shuteye,2027-10-29,2027,1202568,A student researching sleep paralysis slips into a lucid nightmare.,en,27,/dRHVocnmLsXLxnAYZqc2fLJf4o1.jpg,https://image.tmdb.org/t/p/w500/dRHVocnmLsXLxnAYZqc2fLJf4o1.jpg,/55VZceSgkzvTifm9bBrr2Wwt7YH.jpg,https://image.tmdb.org/t/p/w500/55VZceSgkzvTifm9bBrr2Wwt7YH.jpg,0.0,0,0.2079,False
Deviant,2027-10-31,2027,1564414,"A masked stranger breaks into a home in the middle of the night, setting off a devastating chain of events.",en,,,,,,0.0,0,0.4072,False
[untitled fashion thriller],2027-10-31,2027,1518763,"A young artist hides from a unknown killer, changing faces to stay alive.",en,"28,18,53",,,,,0.0,0,0.0708,False
The Origin of Hide and Seek,2027-11-01,2027,1651152,"When a mysterious sound is heard on an exploration ship, the crew meets to discuss the problems - all while a murderer from another world picks them off one by one. Now in development.  Releases in 2027",en,"27,878,53,9648",/lkSJhMdNUoaKgYfSheRGzBUeYxI.jpg,https://image.tmdb.org/t/p/w500/lkSJhMdNUoaKgYfSheRGzBUeYxI.jpg,,,0.0,0,0.3462,False
Elegy to a Missing Friend,2027-11-01,2027,1019685,"In the aftermath of her friend's passing, an artist processes her grief by making a film. She weaves her personal archival footage and an unfinished science-fiction narrative into a deeply raw and emotive work of art.",en,"18,878",/xOLTfYWXNKnJzjDe7i6CLxGiCeq.jpg,https://image.tmdb.org/t/p/w500/xOLTfYWXNKnJzjDe7i6CLxGiCeq.jpg,/mqkthM0bTyew8PvWzkZN0apgYm2.jpg,https://image.tmdb.org/t/p/w500/mqkthM0bTyew8PvWzkZN0apgYm2.jpg,0.0,0,0.2328,False
The Mother Below,2027-11-02,2027,1633476,,en,"27,53",/3eC9eHe5g5SexKx9M9UR681ixZ.jpg,https://image.tmdb.org/t/p/w500/3eC9eHe5g5SexKx9M9UR681ixZ.jpg,,,0.0,0,0.1757,False
Alice & the Mad Hatter,2027-11-04,2027,1538705,"In an escort agency called the White Rabbit, Alice Liddell is a sex worker. When The Mad Hatter meets her, he becomes obsessed with her.",en,27,/rBQDnaIMClp2GTSgTec1lhBGrnN.jpg,https://image.tmdb.org/t/p/w500/rBQDnaIMClp2GTSgTec1lhBGrnN.jpg,/ceUMznIP7Uq9d4Qa2lM45R0cGS5.jpg,https://image.tmdb.org/t/p/w500/ceUMznIP7Uq9d4Qa2lM45R0cGS5.jpg,0.0,0,0.3855,False
Margie Claus,2027-11-04,2027,1290568,"When Santa goes missing Christmas Eve, his wife Margie Claus has to assemble a rag-tag team of long-retired reindeer to rescue Santa and save Christmas",en,"16,14,35",,,,,0.0,0,0.5492,False
Helldivers,2027-11-10,2027,1413533,A live-action film based on the video game. Plot TBA.,en,878,/zDRwl5qTqPJgNoc8pkQkDnXRSYF.jpg,https://image.tmdb.org/t/p/w500/zDRwl5qTqPJgNoc8pkQkDnXRSYF.jpg,,,0.0,0,0.8373,False
Me and Po Are Very Real,2027-11-12,2027,1580489,"In a world that refuses to understand him, Aino finds solace in a small green monster named Po. When that bond is tested, he's forced to rediscover what it truly means to be real.",en,18,/wBKIBauGpLOIycI0ffakuprRi3X.jpg,https://image.tmdb.org/t/p/w500/wBKIBauGpLOIycI0ffakuprRi3X.jpg,,,0.0,0,0.0268,False
Gremlins 3,2027-11-18,2027,1423577,The third installment in the franchise. Plot TBA.,en,"35,14,27",,,,,0.0,0,0.5263,False
Secrets,2027-11-18,2027,1230440,Sequel to 2021's 'Student Restoring Corps'.,en,28,,,,,0.0,0,0.0877,False
Untitled Daniels Film,2027-11-19,2027,1651461,"Described as a ""very existential"" and ""fun sci-fi, action comedy with a big heart"". Plot TBA.",en,"878,28,35",,,,,0.0,0,1.0733,False
Frozen III,2027-11-24,2027,1024604,Third installment in the Disney animated franchise. Plot TBA,en,"16,10751,14,12",/g0TIDHZoVNtMIRYVHPncMxqSlOR.jpg,https://image.tmdb.org/t/p/w500/g0TIDHZoVNtMIRYVHPncMxqSlOR.jpg,/z0GcZ8dXIbjb258Ui32vESfjeNQ.jpg,https://image.tmdb.org/t/p/w500/z0GcZ8dXIbjb258Ui32vESfjeNQ.jpg,0.0,0,2.2679,False
Hungry Creatures,2027-11-26,2027,1586888,"After a traumatic event, Tess relocates to Brooklyn for the summer and starts working in her aunt and uncle's restaurant.",en,"18,27,9648",/iLnZS8bnLc9KOai0iho0pUIjb4a.jpg,https://image.tmdb.org/t/p/w500/iLnZS8bnLc9KOai0iho0pUIjb4a.jpg,,,0.0,0,0.0957,False
Cling Film,2027-11-29,2027,1441622,"Aza, the hardened daughter of a crime lord, and Max, a disillusioned thief desperate to leave the business, are tasked with retrieving a mysterious item. As they navigate a world of mercenary soldiers, hidden agendas, and a looming shadow organization, their fractured past and lingering connection threaten to unravel.  Meanwhile, an agent known only as the Huntswoman fights to hold onto her mission—and her sanity—after a failed operation leaves her partner incapacitated. As the game of cat and mouse escalates, a severed hand, a locked safe, and a hallucinatory pink scarf become cryptic threads in a deadly web of intrigue.  Blurring the line between noir thriller and psychological horror, Cling Film is a haunting meditation on fate, guilt, and the choices that define who we are.",en,,,,,,0.0,0,0.0286,False
Sing 3,2027-12-08,2027,1108794,The third installment in the Sing franchise. Plot TBA.,en,"10751,10402,16",/xnR5dSaH7FpfHRxKL7rLU3HBzpM.jpg,https://image.tmdb.org/t/p/w500/xnR5dSaH7FpfHRxKL7rLU3HBzpM.jpg,,,0.0,0,1.0392,False
Just Plant,2027-12-15,2027,1503687,,en,,/uEW7NpWOvWXVHvAszjqoLA9kGLL.jpg,https://image.tmdb.org/t/p/w500/uEW7NpWOvWXVHvAszjqoLA9kGLL.jpg,,,0.0,0,0.0429,False
The Lord of the Rings: The Hunt for Gollum,2027-12-15,2027,1090869,A new film based on the novels. Plot TBA.,en,"14,12",/dZIj0MxV54VLf39RaD4xjzjjLOY.jpg,https://image.tmdb.org/t/p/w500/dZIj0MxV54VLf39RaD4xjzjjLOY.jpg,,,0.0,0,2.0457,False
Avengers: Secret Wars,2027-12-16,2027,1003598,An upcoming film in Phase Six of the Marvel Cinematic Universe (MCU) and the finale of The Multiverse Saga. Plot TBA.,en,"878,28,12",/f0YBuh4hyiAheXhh4JnJWoKi9g5.jpg,https://image.tmdb.org/t/p/w500/f0YBuh4hyiAheXhh4JnJWoKi9g5.jpg,/rytc6Lf4447C0CDncwFa4gxe0vY.jpg,https://image.tmdb.org/t/p/w500/rytc6Lf4447C0CDncwFa4gxe0vY.jpg,0.0,0,6.0519,False
The Housemaid's Secret,2027-12-17,2027,1611116,Millie Calloway takes a job keeping house for a woman she's never allowed to see — only to discover the truth behind the locked door that threatens to expose secrets far darker than her own.,en,"9648,53",/wN9UPRZ5jbL9n3wIkZSrVov1dC2.jpg,https://image.tmdb.org/t/p/w500/wN9UPRZ5jbL9n3wIkZSrVov1dC2.jpg,,,0.0,0,1.7286,False
Esther's Comet,2027-12-17,2027,1189041,"In dreams, Anthony is a villager who enjoys a fruitful lifestyle, helping his neighbourhood and creating unique friendships with the townsfolk. When he suddenly sees his long lost biological parents in one of his dreams, he journeys through his subconscious in an attempt to find them and potentially reconnect. However, throughout his journey, he crosses from his own dreamworld into an astral plane, of which he cannot return from.",en,"16,9648,18,14,53",/3UC0GtGwxVZyY8rPJ2MFwiNX9sv.jpg,https://image.tmdb.org/t/p/w500/3UC0GtGwxVZyY8rPJ2MFwiNX9sv.jpg,,,0.0,0,0.2837,False
"Murder, She Wrote",2027-12-22,2027,1188748,A feature adaptation of the classic TV series. Plot TBA.,en,"9648,80",,,,,0.0,0,0.8038,False
Tunes,2027-12-24,2027,1414788,"An aspiring artist, facing failure and self-doubt, strives to create a song that could potentially change his future.",en,"16,10402,10749",/4Nn2cpnnNxO3VlxjIA3V9yHPTfT.jpg,https://image.tmdb.org/t/p/w500/4Nn2cpnnNxO3VlxjIA3V9yHPTfT.jpg,,,0.0,0,0.5029,False
Christmas Stalkings,2027-12-24,2027,1211637,"A sadistic pedophile mall Santa is arrested after a group of kids alarm local adults and police of his activity. Years later, the pedophile escapes from prison during a blackout. Donning his Santa Claus uniform and wielding a fire axe, the pedophile begins hunting down the now grown-up children one by one.",en,"27,35",,,,,0.0,0,0.2667,False
Untitled Nancy Meyers Film,2027-12-25,2027,1601898,"A filmmaker and producer who were once romantic and creative partners reunite years after their breakup to make a new movie together, navigating their complicated relationship while dealing with volatile stars on their high-stakes production.",en,35,,,,,0.0,0,1.2639,False
It’s A Good Day For A Jog!,2027-12-25,2027,1516340,About a man so addicted to jogging his wife slowly get’s jealous.,en,,,,,,0.0,0,0.0168,False
Untitled,2027-12-27,2027,1214974,The rumoured project by Brandon Gupta.,en,,,,,,0.0,0,0.0429,False
808,2027-12-31,2027,1418003,An overview of RTV towers in Poland,en,,,,,,0.0,0,0.3924,False
A Family Getting Sick,2027-12-31,2027,1418000,A family suffers a sudden poisoning and an intruder breaks in,en,"18,27",,,,,0.0,0,0.1486,False
Deconstruction of Art History,2027-12-31,2027,1417593,"All sciences emerge from two questions. History is not science but a field of knowledge. It caused a tragedy of projection and coping of Hegel and his students, leading to a fascinating mistake; art history.",en,,,,,,0.0,0,0.0436,False
A World Without Trees,2027-12-31,2027,1417592,"A group of pirates spend their nights and days at the sea. They are children of famous architects. To kill time, they sleep, play games, take Benadryl and snort amphetamine",en,,,,,,0.0,0,0.0452,False
Untitled Leave Me Alone Sequel,2027-12-31,2027,1308261,The upcoming sequel to the 2022 horror film 'Leave Me Alone'.,en,"9648,27,53",,,,,0.0,0,0.1779,False
"""I Don't Wanna Do This Anymore""",2027-12-31,2027,1299747,"Reese finds herself in the desert after a party when her drunken girlfriend hurts someone. When she wakes up, they are preparing for the same party. The time is ticking to solve the time loop, while those around her become increasingly beaten and broken, mentally and physically.",en,"27,53,18,10749",/jgjP3Lv2qPnnpKyV8TLZmPMN3bQ.jpg,https://image.tmdb.org/t/p/w500/jgjP3Lv2qPnnpKyV8TLZmPMN3bQ.jpg,,,0.0,0,0.3986,False
