title,release_date,year,tmdb_id,overview,original_language,genre_ids,poster_path,poster_url,backdrop_path,backdrop_url,rating,no_of_persons_voted,popularity,adult
In the Absence of Choice,2027-01-20,2027,1559118,"When a loyal enforcer of a vampire order begins to remember the night his childhood ended, the truth waiting in the dark threatens to consume what’s left of him.",en,"14,18,53",/68Jn55wCJ2hlibTD1bi5xZ7ReCw.jpg,https://image.tmdb.org/t/p/w500/68Jn55wCJ2hlibTD1bi5xZ7ReCw.jpg,/eDr62FOiRaizRqoHZW5RkKdPU2A.jpg,https://image.tmdb.org/t/p/w500/eDr62FOiRaizRqoHZW5RkKdPU2A.jpg,0.0,0,0.0578,False
Chhatrapati Shivaji Maharaj,2027-01-21,2027,1263040,Chhatrapati Shivaji Maharaj,en,,/A4DaAilEzMr9FqNdgPz0KHrakK3.jpg,https://image.tmdb.org/t/p/w500/A4DaAilEzMr9FqNdgPz0KHrakK3.jpg,,,0.0,0,0.493,False
Animal Friends,2027-01-21,2027,1115030,"Two fugitive animals embark on an adventure across America to find the ranch that was once their home, healing their friendship while pursued by an equally ""odd-couple"" DEA agent and Fish and Wildlife ranger with something to prove.",en,35,/I65yQ8p6VqDK96JH5tpNZ0Q3DS.jpg,https://image.tmdb.org/t/p/w500/I65yQ8p6VqDK96JH5tpNZ0Q3DS.jpg,/5Ejvk0SqZ6mGe9bkymgxuPWkdfj.jpg,https://image.tmdb.org/t/p/w500/5Ejvk0SqZ6mGe9bkymgxuPWkdfj.jpg,0.0,0,1.0832,False
Air Bud Returns,2027-01-22,2027,1518403,"12-year-old Jacob is an aspiring basketball player coping with the recent loss of his father. After he and his mother move to his dad’s childhood home in Fernfield, Jacob discovers a VHS tape of his old man playing basketball on the same court as a hoops-shooting golden retriever. Soon, Jacob begins his own adventure with a neglected golden retriever that he names Buddy.",en,"10751,18",/jn9IycsqyLsLluBPVkcHDyWHdGb.jpg,https://image.tmdb.org/t/p/w500/jn9IycsqyLsLluBPVkcHDyWHdGb.jpg,/datpCoCjLKrqhRDRrLbu2T6fgMH.jpg,https://image.tmdb.org/t/p/w500/datpCoCjLKrqhRDRrLbu2T6fgMH.jpg,0.0,0,1.3749,False
Inside That House,2027-01-29,2027,1485138,"After a number of strange disappearances have been reported in the area, Andrew and Jason, two brothers who received a drone for graduation, decide to film around their town to learn more about them, but then become distracted by a new girl in school who lives nearby. The two boys devise a plan to sneak their drone through an open window of her home, only to discover a terrible, dark secret.",en,"27,53",/wGN0bq0yJoKSex6WJiUzMOKRkeF.jpg,https://image.tmdb.org/t/p/w500/wGN0bq0yJoKSex6WJiUzMOKRkeF.jpg,,,0.0,0,0.6978,False
The Rescue,2027-01-29,2027,1425472,A modern day western in which a rodeo cowboy's skills are put to the test outside the arena.,en,37,,,,,0.0,0,1.2817,False
The Stars That Fade,2027-01-31,2027,1490000,"After a tragic loss, a writer seeks comfort in publishing an anthology of horror stories. As his mental state deteriorates, his imagination blends with reality and tragedy seems imminent.",en,"27,9648",/zbb24jyihVlCc0a9jyhu6NsnpZB.jpg,https://image.tmdb.org/t/p/w500/zbb24jyihVlCc0a9jyhu6NsnpZB.jpg,/A3NgqTmZAO9fQ5IkuQQxJOmzak.jpg,https://image.tmdb.org/t/p/w500/A3NgqTmZAO9fQ5IkuQQxJOmzak.jpg,0.0,0,0.1139,False
The Comeback King,2027-02-03,2027,1466228,A country western star experiences a dramatic downfall and must navigate their career in free fall.,en,"35,37,10749",/bQIHALe7anRCsBGrGOmlI7YUJCa.jpg,https://image.tmdb.org/t/p/w500/bQIHALe7anRCsBGrGOmlI7YUJCa.jpg,,,0.0,0,1.399,False
S/H/V,2027-02-04,2027,1612048,"Four students, who make money by putting stolen school items online, are hired to steal a VHS tape from their Physical Education Teacher’s Office. However, things take a turn for the worse, when they find dozens of tapes, and being kids, they dare each other to partake in watching them.",en,27,/cE5XBDB6KkpgyDWslKgZFx8SvTn.jpg,https://image.tmdb.org/t/p/w500/cE5XBDB6KkpgyDWslKgZFx8SvTn.jpg,,,0.0,0,0.0581,False
CoComelon: The Movie,2027-02-04,2027,1480503,A CG-animated film inspired by the blockbuster children’s show of the same name. Plot TBA.,en,"10751,16",/ePmeaJOLEdCTsPRhVy7db8URbky.jpg,https://image.tmdb.org/t/p/w500/ePmeaJOLEdCTsPRhVy7db8URbky.jpg,/v7KGx0k7kVoOljcsenqifAypvpZ.jpg,https://image.tmdb.org/t/p/w500/v7KGx0k7kVoOljcsenqifAypvpZ.jpg,0.0,0,0.9231,False
Remain,2027-02-04,2027,1425859,"Architect Tate Donovan arrives in Cape Cod to design a client’s summer home. Struggling with the loss of his family, he moves into a historic home where he meets Wren, a mysterious young woman who challenges Tate’s perception of the world.",en,"10749,53",,,,,0.0,0,2.1792,False
