year_film,film,release_month,metacritic_score,cannes_flag,venice_flag,tiff_flag,telluride_flag,sundance_flag,sxsw_flag,manual_contender_flag,notes,wikipedia_title
2025,Ballad of a Small Player,10,46.0,0,0,1,1,0,0,1,Auto-refreshed from Wikipedia page Ballad_of_a_Small_Player,Ballad_of_a_Small_Player
2025,Blue Moon,10,78.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page Blue_Moon_(2025_film),Blue_Moon_(2025_film)
2025,Bugonia,10,,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page Bugonia,Bugonia
2025,Frankenstein,10,78.0,0,1,1,0,0,0,1,Auto-refreshed from Wikipedia page Frankenstein_(2025_film),Frankenstein_(2025_film)
2025,Hamnet,11,84.0,0,0,1,1,0,0,1,Auto-refreshed from Wikipedia page Hamnet_(film),Hamnet_(film)
2025,It Was Just an Accident,10,91.0,1,1,1,0,0,0,1,Auto-refreshed from Wikipedia page It_Was_Just_an_Accident,It_Was_Just_an_Accident
2025,Jay Kelly,11,67.0,0,1,0,0,0,0,1,Auto-refreshed from Wikipedia page Jay_Kelly,Jay_Kelly
2025,Marty Supreme,12,89.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page Marty_Supreme,Marty_Supreme
2025,No Other Choice,9,86.0,1,1,1,0,0,0,1,Auto-refreshed from Wikipedia page No_Other_Choice,No_Other_Choice
2025,One Battle After Another,9,95.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page One_Battle_After_Another,One_Battle_After_Another
2025,Sentimental Value,11,86.0,1,0,0,0,0,0,1,Auto-refreshed from Wikipedia page Sentimental_Value,Sentimental_Value
2025,Sinners,4,84.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page Sinners_(2025_film),Sinners_(2025_film)
2025,The Secret Agent,11,91.0,1,1,1,1,0,0,1,Auto-refreshed from Wikipedia page The_Secret_Agent_(2025_film),The_Secret_Agent_(2025_film)
2025,Train Dreams,11,88.0,0,0,0,0,1,0,1,Auto-refreshed from Wikipedia page Train_Dreams_(film),Train_Dreams_(film)
2025,Wake Up Dead Man: A Knives Out Mystery,11,80.0,0,0,1,0,0,0,1,Auto-refreshed from Wikipedia page Wake_Up_Dead_Man:_A_Knives_Out_Mystery,Wake_Up_Dead_Man:_A_Knives_Out_Mystery
2025,Wicked: For Good,11,58.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page Wicked:_For_Good,Wicked:_For_Good
2026,People We Meet on Vacation,1,50.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page People_We_Meet_on_Vacation_(film),People_We_Meet_on_Vacation_(film)
2026,Project Hail Mary,3,77.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page Project_Hail_Mary_(film),Project_Hail_Mary_(film)
2026,The Bride!,3,55.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page The_Bride!,The_Bride!
2026,The Rip,1,63.0,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page The_Rip_(film),The_Rip_(film)
2026,The Wrecking Crew,1,,0,0,0,0,0,0,1,Auto-refreshed from Wikipedia page The_Wrecking_Crew_(film),The_Wrecking_Crew_(film)
