tmdb_id,title,lead_actor_id,lead_actor_name,lead_actor_profile_url,lead_actress_id,lead_actress_name,lead_actress_profile_url,director_id,director_name,director_profile_url
1315303,Primate,1571661,Troy Kotsur,https://image.tmdb.org/t/p/w300/24K3og12jGBGL9dqH5OYFdjF9wu.jpg,1295282,Johnny Sequoyah,https://image.tmdb.org/t/p/w300/taFfjOB4lPAx75kJo9yFylKT1ek.jpg,100734,Johannes Roberts,https://image.tmdb.org/t/p/w300/8hHny6atmFXcuNl2m1AP3fIOayz.jpg
1198984,We Bury the Dead,1017347,Brenton Thwaites,https://image.tmdb.org/t/p/w300/4jrtVjdIGJpmgevEPRuIIU9HWcO.jpg,1315036,Daisy Ridley,https://image.tmdb.org/t/p/w300/iVboQmgPC3tYFjezBjrVECJRS8n.jpg,1323509,Zak Hilditch,https://image.tmdb.org/t/p/w300/tD0eIy9YnJOaHoWB1454aDtvGpC.jpg
1034716,People We Meet on Vacation,1524100,Tom Blyth,https://image.tmdb.org/t/p/w300/q8bkN1GvXqjs1ZGFYWViH9o2WDq.jpg,1902689,Emily Bader,https://image.tmdb.org/t/p/w300/54vsruCMlY2QymN950QoMtINNFA.jpg,932759,Brett Haley,https://image.tmdb.org/t/p/w300/AghtkUjCNMa6Kjyq2xNzFXvs32p.jpg
1263012,Dead Man's Wire,137905,Bill Skarsgård,https://image.tmdb.org/t/p/w300/xBXLx1m0uzhXIbY3wN8lmPGeUHl.jpg,2673750,Myha'la,https://image.tmdb.org/t/p/w300/hRc3igngt5dkpM08i0a3z7gkYWa.jpg,5216,Gus Van Sant,https://image.tmdb.org/t/p/w300/kICHgrSh4eiICjz8piy9fTXIgph.jpg
1306368,The Rip,1892,Matt Damon,https://image.tmdb.org/t/p/w300/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg,964679,Teyana Taylor,https://image.tmdb.org/t/p/w300/5b2dAuTsBejBsdm9SkWX4F7jG9w.jpg,40223,Joe Carnahan,https://image.tmdb.org/t/p/w300/e6cnnUqh6mGIjnRFI4xFc30AqVr.jpg
1272837,28 Years Later: The Bone Temple,5469,Ralph Fiennes,https://image.tmdb.org/t/p/w300/pCnVXH1Uo2ODoOit4UXni8OD9VB.jpg,1672504,Erin Kellyman,https://image.tmdb.org/t/p/w300/f7XXomAaSRxE3h5NT0sAlcQTjPL.jpg,1795072,Nia DaCosta,https://image.tmdb.org/t/p/w300/zRyaLNXLT2gKgPvLreyg3GeEIdD.jpg
1595481,Kidnapped: Elizabeth Smart,3722624,Steevan Glover,https://image.tmdb.org/t/p/w300/rA6tk3KTzOXPjlJUkZKwPbk9gmO.jpg,1907352,Elizabeth Smart,https://image.tmdb.org/t/p/w300/3YcCbtqFrLqHaOGnT7R7BGAb8Rw.jpg,3285509,Benedict Sanderson,
1198994,Send Help,527393,Dylan O'Brien,https://image.tmdb.org/t/p/w300/xN3GdvIlqsR838gDoblhPH0numP.jpg,53714,Rachel McAdams,https://image.tmdb.org/t/p/w300/vDUGcy0sdqHx76VWkoemy9n4waT.jpg,7623,Sam Raimi,https://image.tmdb.org/t/p/w300/8gssvwiPrFRuFRlr5ruKx68k1Jl.jpg
696393,Cold Storage,1467219,Joe Keery,https://image.tmdb.org/t/p/w300/4DrWP7WP1c2XYlmcgfFSma3J9z3.jpg,1335315,Georgina Campbell,https://image.tmdb.org/t/p/w300/kgXHKjI728Nv7FLVf38S9QzHU2n.jpg,59104,Jonny Campbell,https://image.tmdb.org/t/p/w300/iwS1U5YWw2DM1N414aWWODhl2MK.jpg
1339173,Honey Bunch,1570400,Ben Petrie,https://image.tmdb.org/t/p/w300/r2mrAH6U7lh9hQspa9AkREQcwdH.jpg,1199952,Grace Glowicki,https://image.tmdb.org/t/p/w300/4SbxF12ARtTqL6xfbIn8fT0w7HL.jpg,1196470,Dusty Mancinelli,https://image.tmdb.org/t/p/w300/xJlrfJuv9rsCpI5TP0kFgyBk6xi.jpg
1032892,In the Blink of an Eye,1652371,Daveed Diggs,https://image.tmdb.org/t/p/w300/codalhZzB4LvJTSGOnOyrTEsqsF.jpg,1240487,Kate McKinnon,https://image.tmdb.org/t/p/w300/2cNetzianFcxPQbyOQnkAIkKUZE.jpg,7,Andrew Stanton,https://image.tmdb.org/t/p/w300/fo6ePCWEVB0L1sccrvB99Iaoqcg.jpg
1596291,Queen of Chess,225958,Garry Kasparov,https://image.tmdb.org/t/p/w300/vOE9BQVsU6kYQjK2zRdexDNLZBH.jpg,3522290,Judit Polgar,https://image.tmdb.org/t/p/w300/zJeC4Y3RGRmEgdB1i5mWBHWegab.jpg,1037308,Rory Kennedy,https://image.tmdb.org/t/p/w300/e7Sy1VCnQq5dFEozkTbSXO8U3uU.jpg
1340076,Untitled Home Invasion Romance,21593,Jason Biggs,https://image.tmdb.org/t/p/w300/3nRgOQylYbNuDiddtNoh8uWTz5P.jpg,303020,Meaghan Rath,https://image.tmdb.org/t/p/w300/3RJVUYErS4hwCVOpMNEtTMUJ1PA.jpg,21593,Jason Biggs,https://image.tmdb.org/t/p/w300/3nRgOQylYbNuDiddtNoh8uWTz5P.jpg
1168190,The Wrecking Crew,543530,Dave Bautista,https://image.tmdb.org/t/p/w300/snk6JiXOOoRjPtHU5VMoy6qbd32.jpg,54882,Morena Baccarin,https://image.tmdb.org/t/p/w300/kBSKKaOtsqIzZPhtEeHfCBmhWl9.jpg,1500758,Ángel Manuel Soto,https://image.tmdb.org/t/p/w300/7lu6zFhXB1Na5ANy2pPTIERaAhi.jpg
1290821,Shelter,976,Jason Statham,https://image.tmdb.org/t/p/w300/pXGSq2UpcDE2NMF8LR56QZf5U1q.jpg,4088089,Bodhi Rae Breathnach,https://image.tmdb.org/t/p/w300/sONxErk3r0xfoESAmU3GVTxoPDe.jpg,76422,Ric Roman Waugh,https://image.tmdb.org/t/p/w300/cu0MJd4exIgSLgaE0uwMDTFQcpA.jpg
1620991,The Investigation of Lucy Letby,,,,4870034,Lucy Letby,,2922667,Dominic Sivyer,
1088434,Hellfire,32747,Stephen Lang,https://image.tmdb.org/t/p/w300/gnO5VfkDgA2fsHweD0622LUY3Hu.jpg,128628,Scottie Thompson,https://image.tmdb.org/t/p/w300/fx7b87WwORTZxzq8qWvPZS78phg.jpg,78108,Isaac Florentine,https://image.tmdb.org/t/p/w300/4PJrg3l105M2GMNazhu2DXZ1Wce.jpg
1316092,"""Wuthering Heights""",2034418,Jacob Elordi,https://image.tmdb.org/t/p/w300/qZNRPWCP2c5d0YaYLTzHXU9Rdoe.jpg,234352,Margot Robbie,https://image.tmdb.org/t/p/w300/8LqG2N6j98lFGMpuYsRUAhOunSd.jpg,1252934,Emerald Fennell,https://image.tmdb.org/t/p/w300/ytyHUsPb7Saulczm8nCJHypIWQF.jpg
1171145,Crime 101,74568,Chris Hemsworth,https://image.tmdb.org/t/p/w300/piQGdoIQOF3C1EI5cbYZLAW1gfj.jpg,4587,Halle Berry,https://image.tmdb.org/t/p/w300/wtFetpWV8kjBsvzYKN9uEEmPdpy.jpg,859754,Bart Layton,https://image.tmdb.org/t/p/w300/zAc9d3PUZmgls9Xu0lRF9Etw1Mc.jpg
1297842,GOAT,1474123,Caleb McLaughlin,https://image.tmdb.org/t/p/w300/4jVS3EziBn7bf97ErxkW7jsdiLM.jpg,17773,Gabrielle Union,https://image.tmdb.org/t/p/w300/toeSCybsYufRKfgz77AKy4C8axD.jpg,2122835,Tyree Dillihay,https://image.tmdb.org/t/p/w300/cA4rfx4HwDYmmxpJoBclTZTjcEN.jpg
1265609,War Machine,64295,Alan Ritchson,https://image.tmdb.org/t/p/w300/92YNEEpCyugkTzPprJwZpvVtvuK.jpg,,,,143059,Patrick Hughes,https://image.tmdb.org/t/p/w300/1yTU7U9HVchCQ1KO66noEKuK5J2.jpg
1317672,Love Me Love Me,3791174,Pepe Barroso,https://image.tmdb.org/t/p/w300/1aclLzISTojUZ9CrKsRcI1eIJls.jpg,1867690,Mia Jenkins,https://image.tmdb.org/t/p/w300/qlFJG7THmA04TOCntAXtHmOL0J2.jpg,11873,Roger Kumble,https://image.tmdb.org/t/p/w300/njVOmV33aCFRUlBxxLXzLbrmAUS.jpg
1119449,"Good Luck, Have Fun, Don't Die",6807,Sam Rockwell,https://image.tmdb.org/t/p/w300/afYhNpLwpa65Yy0Q0g00FNFhzx5.jpg,36594,Juno Temple,https://image.tmdb.org/t/p/w300/n20TNExAma6q9iVcWtPRxLl7pEc.jpg,1704,Gore Verbinski,https://image.tmdb.org/t/p/w300/rSQRdmLNAwdKxrtvBSSlBmWeSsj.jpg
799882,The Bluff,1372,Karl Urban,https://image.tmdb.org/t/p/w300/6CkZLwEJxfqqcJHyeXegMAvOlPh.jpg,77234,Priyanka Chopra Jonas,https://image.tmdb.org/t/p/w300/9n2n3fUFI553HKH0CEAb2TPLtCx.jpg,59703,Frank E. Flowers,https://image.tmdb.org/t/p/w300/eguppPFKy8xfEOajWrbHugA0uJ.jpg
1442908,The Singers,5287521,Chris Smither,,,,,2042771,Sam A. Davis,https://image.tmdb.org/t/p/w300/2UEAwTIb0AMYvpFoEuI0FXTMpdL.jpg
1445363,EPiC: Elvis Presley in Concert,21457,Elvis Presley,https://image.tmdb.org/t/p/w300/psf1wJUw48ALsfV3tN31FX0mDW5.jpg,,,,6201,Baz Luhrmann,https://image.tmdb.org/t/p/w300/8K8ih7uFyGanOApYYzlzdxzcfDF.jpg
1327819,Hoppers,452205,Bobby Moynihan,https://image.tmdb.org/t/p/w300/gOvwNz5joi5yWJ7dAhuF8WA2aas.jpg,1308818,Piper Curda,https://image.tmdb.org/t/p/w300/oyitEBcracNWMuF8Frhsqkjgzuc.jpg,1491592,Daniel Chong,https://image.tmdb.org/t/p/w300/gMYqVwLdoaPhIFyWUAQrRlGGjkE.jpg
1159831,The Bride!,3894,Christian Bale,https://image.tmdb.org/t/p/w300/7Pxez9J8fuPd2Mn9kex13YALrCQ.jpg,1498158,Jessie Buckley,https://image.tmdb.org/t/p/w300/qbz9175DERSqsCQeYWGJWwqb38z.jpg,1579,Maggie Gyllenhaal,https://image.tmdb.org/t/p/w300/vsfkWdYWmA9CpzMHTJzrFxlDnEZ.jpg
875828,Peaky Blinders: The Immortal Man,2037,Cillian Murphy,https://image.tmdb.org/t/p/w300/2lKs67r7FI4bPu0AXxMUJZxmUXn.jpg,933238,Rebecca Ferguson,https://image.tmdb.org/t/p/w300/lJloTOheuQSirSLXNA3JHsrMNfH.jpg,212240,Tom Harper,https://image.tmdb.org/t/p/w300/bt5yUl0oEPjSVwt8ZlFuQrxhv0Y.jpg
