year_film,film,film_key,release_month,query,status,matched_title,matched_vanity,matched_release_year,tomatometer_rating,audience_rating,poster_url,rt_url,match_score,match_reason,rt_updated_at,fetched_at,error_message
2002,The Lord of the Rings: The Two Towers,the lord of the rings the two towers,,The Lord of the Rings: The Two Towers,matched,The Lord of the Rings: The Two Towers,the_lord_of_the_rings_the_two_towers,2002,95,95,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p30793_p_v8_am.jpg,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:09.124Z,2026-04-10T00:05:42.712409+00:00,
2002,The Pianist,the pianist,,The Pianist,matched,The Pianist,pianist,2002,95,96,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p30193_p_v12_aa.jpg,https://www.rottentomatoes.com/m/pianist,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:08:55.915Z,2026-04-10T00:05:42.712409+00:00,
2003,Lost in Translation,lost in translation,,Lost in Translation,matched,Lost in Translation,lost_in_translation,2003,95,85,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p32966_p_v13_ah.jpg,https://www.rottentomatoes.com/m/lost_in_translation,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T03:12:11.113Z,2026-04-10T00:05:42.712409+00:00,
2003,Master and Commander: The Far Side of the World,master and commander the far side of the world,,Master and Commander: The Far Side of the World,matched,Master and Commander: The Far Side of the World,master_and_commander_the_far_side_of_the_world,2003,85,80,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p31335_p_v8_ab.jpg,https://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T03:12:10.442Z,2026-04-10T00:05:42.712409+00:00,
2003,Mystic River,mystic river,,Mystic River,matched,Mystic River,mystic_river,2003,89,89,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p32186_p_v10_ay.jpg,https://www.rottentomatoes.com/m/mystic_river,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T03:12:07.158Z,2026-04-10T00:05:42.712409+00:00,
2003,Seabiscuit,seabiscuit,,Seabiscuit,matched,Seabiscuit,seabiscuit,2003,77,76,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p32087_p_v13_ag.jpg,https://www.rottentomatoes.com/m/seabiscuit,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T03:12:07.457Z,2026-04-10T00:05:42.712409+00:00,
2003,The Lord of the Rings: The Return of the King,the lord of the rings the return of the king,,The Lord of the Rings: The Return of the King,matched,The Lord of the Rings: The Return of the King,the_lord_of_the_rings_the_return_of_the_king,2003,94,86,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p33156_p_v8_aq.jpg,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T03:12:05.705Z,2026-04-10T00:05:42.712409+00:00,
2004,Finding Neverland,finding neverland,,Finding Neverland,matched,Finding Neverland,finding_neverland,2004,83,87,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p34951_p_v10_ae.jpg,https://www.rottentomatoes.com/m/finding_neverland,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:05:40.664Z,2026-04-10T00:05:42.712409+00:00,
2004,Million Dollar Baby,million dollar baby,,Million Dollar Baby,matched,Million Dollar Baby,million_dollar_baby,2004,90,90,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p35226_p_v8_ar.jpg,https://www.rottentomatoes.com/m/million_dollar_baby,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:46.445Z,2026-04-10T00:05:42.712409+00:00,
2004,Ray,ray,,Ray,matched,Ray,ray,2004,80,87,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p35003_p_v8_ae.jpg,https://www.rottentomatoes.com/m/ray,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:03:01.781Z,2026-04-10T00:05:42.712409+00:00,
